City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Ancud,CL,2020-04-18 01:23:56,-41.87,-73.82,55.4,100,100,4.7,light rain,0.12,0.0
1,Saskylakh,RU,2020-04-18 01:23:56,71.92,114.08,2.48,88,8,5.28,clear sky,0.0,0.0
2,Kapaa,US,2020-04-18 01:20:55,22.08,-159.32,80.6,61,1,11.41,clear sky,0.0,0.0
3,Bambous Virieux,MU,2020-04-18 01:23:56,-20.34,57.76,75.2,78,40,3.36,scattered clouds,0.0,0.0
4,Busselton,AU,2020-04-18 01:23:57,-33.65,115.33,59.0,94,100,5.84,overcast clouds,0.0,0.0
5,Jamestown,US,2020-04-18 01:22:40,42.1,-79.24,33.01,92,90,4.7,light snow,0.0,0.0
6,Rikitea,PF,2020-04-18 01:23:58,-23.12,-134.97,77.23,64,31,1.34,scattered clouds,0.0,0.0
7,Mataura,NZ,2020-04-18 01:23:58,-46.19,168.86,57.99,69,96,10.0,light rain,1.93,0.0
8,Karoi,ZW,2020-04-18 01:23:58,-16.81,29.69,65.79,52,30,8.48,scattered clouds,0.0,0.0
9,Kodiak,US,2020-04-18 01:21:27,57.79,-152.41,51.8,76,90,10.29,overcast clouds,0.0,0.0
10,Punta Arenas,CL,2020-04-18 01:22:50,-53.15,-70.92,51.8,66,84,11.41,broken clouds,0.0,0.0
11,Albany,US,2020-04-18 01:22:32,42.6,-73.97,41.0,69,100,2.48,overcast clouds,0.0,0.0
12,Cape Town,ZA,2020-04-18 01:20:02,-33.93,18.42,60.01,71,79,3.36,broken clouds,0.0,0.0
13,Thompson,CA,2020-04-18 01:24:00,55.74,-97.86,32.0,92,90,6.93,light snow,0.0,0.0
14,Torbay,CA,2020-04-18 01:24:00,47.67,-52.73,32.0,58,40,6.93,scattered clouds,0.0,0.0
15,Koslan,RU,2020-04-18 01:24:00,63.46,48.9,33.15,92,100,5.97,overcast clouds,0.0,0.0
16,Arraial Do Cabo,BR,2020-04-18 01:24:01,-22.97,-42.03,73.9,70,100,12.01,overcast clouds,0.0,0.0
17,Isangel,VU,2020-04-18 01:24:01,-19.55,169.27,86.0,70,75,5.82,broken clouds,0.0,0.0
18,Kyren,RU,2020-04-18 01:24:01,51.68,102.14,36.23,57,81,6.8,light snow,0.0,1.47
19,Castro,BR,2020-04-18 01:24:01,-24.79,-50.01,54.32,53,26,4.29,scattered clouds,0.0,0.0
20,Avarua,CK,2020-04-18 01:24:02,-21.21,-159.78,82.4,61,64,6.93,broken clouds,0.0,0.0
21,Bluff,NZ,2020-04-18 01:22:47,-46.6,168.33,57.99,69,93,10.0,light rain,0.52,0.0
22,Tiksi,RU,2020-04-18 01:24:02,71.69,128.87,5.2,92,100,5.1,light snow,0.0,0.11
23,Mahebourg,MU,2020-04-18 01:24:02,-20.41,57.7,75.2,78,40,3.36,scattered clouds,0.0,0.0
