City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
3,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
6,Rikitea,PF,77.23,scattered clouds,-23.12,-134.97,Pension Maro'i
17,Isangel,VU,86.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
20,Avarua,CK,82.4,broken clouds,-21.21,-159.78,Paradise Inn
23,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
25,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
33,San Andres,CO,82.4,few clouds,12.58,-81.7,Hotel Arena Blanca
34,Ndele,CF,76.51,scattered clouds,8.41,20.65,
35,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
37,Yulara,AU,75.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
40,Salalah,OM,78.8,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
44,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
49,Vaini,TO,82.4,smoke,-21.2,-175.2,Keleti Beach Resort
54,San Patricio,MX,78.8,clear sky,19.22,-104.7,Hotel Cabo Blanco
60,Bubaque,GW,80.91,clear sky,11.28,-15.83,Casa Dora
64,Yaan,NG,81.54,broken clouds,7.38,8.57,
65,Atar,MR,77.77,broken clouds,20.52,-13.05,Oumou Elghoura
70,Kavieng,PG,81.95,overcast clouds,-2.57,150.8,Nusa Island Retreat
74,Waingapu,ID,82.51,scattered clouds,-9.66,120.26,Pondok Wisata Elim
76,Cockburn Town,TC,78.84,clear sky,21.46,-71.14,Osprey Beach Hotel
78,Daru,PG,84.09,broken clouds,-9.08,143.21,New century hotel
81,Tautira,PF,87.8,overcast clouds,-17.73,-149.15,Pension Oaoa
90,Kanigiri,IN,75.29,clear sky,15.4,79.52,Hotel
92,Omboue,GA,78.03,overcast clouds,-1.57,9.26,Hotel Olako
93,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
94,Atuona,PF,82.22,overcast clouds,-9.8,-139.03,Villa Enata
97,Carnarvon,AU,80.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
99,Mae Sai,TH,79.0,mist,20.43,99.88,Piyaporn Hill Paradise Hotel
101,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
103,Bundaberg,AU,86.0,broken clouds,-24.85,152.35,Takalvan Motel
108,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
109,Birao,CF,76.87,overcast clouds,10.28,22.79,
113,Geraldton,AU,77.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
114,Bilma,NE,79.41,clear sky,18.69,12.92,Expeditions Ténére voyages
138,Harper,LR,81.54,overcast clouds,4.38,-7.72,Cape View Guest House
144,Hilo,US,80.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
149,Mackay,AU,86.0,scattered clouds,-21.15,149.2,International Lodge Motel
150,Katobu,ID,82.51,clear sky,-4.94,122.53,La Ode Gombe
154,Lafiagi,NG,84.61,overcast clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
158,Inhambane,MZ,75.18,few clouds,-23.86,35.38,MHL Turismo SA
161,Chakulia,IN,78.8,haze,22.48,86.72,BKD
168,Tambura,SS,75.25,overcast clouds,5.6,27.47,Guest hous Tambura
183,Banda Aceh,ID,79.25,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
