City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2020-04-17 03:31:28,-9.8,-139.03,82.81,73,84,13.04
1,Lebu,CL,2020-04-17 03:31:28,-37.62,-73.65,55.99,82,79,8.72
2,Kapaa,US,2020-04-17 03:31:29,22.08,-159.32,80.6,69,20,12.75
3,Jamestown,US,2020-04-17 03:29:32,42.1,-79.24,30.2,86,20,5.82
4,Dikson,RU,2020-04-17 03:31:29,73.51,80.55,2.39,90,4,9.33
5,East London,ZA,2020-04-17 03:31:30,-33.02,27.91,53.6,100,0,3.36
6,Bengkulu,ID,2020-04-17 03:31:24,-3.8,102.27,77.56,87,100,6.58
7,Port Alfred,ZA,2020-04-17 03:31:30,-33.59,26.89,59.0,74,8,1.01
8,Sapernoye,RU,2020-04-17 03:31:31,60.72,29.95,33.01,94,87,17.0
9,Avarua,CK,2020-04-17 03:31:31,-21.21,-159.78,82.4,61,75,3.36
10,Saint-Georges,GD,2020-04-17 03:31:31,12.06,-61.75,80.6,78,20,11.41
11,Ushuaia,AR,2020-04-17 03:28:22,-54.8,-68.3,55.4,58,94,12.75
12,Tieli,CN,2020-04-17 03:31:31,46.95,128.05,61.2,26,100,4.81
13,Cape Town,ZA,2020-04-17 03:31:32,-33.93,18.42,57.0,100,0,1.12
14,Punta Arenas,CL,2020-04-17 03:31:32,-53.15,-70.92,50.0,76,40,19.46
15,Puerto Ayora,EC,2020-04-17 03:31:32,-0.74,-90.35,77.0,93,20,1.99
16,Shaowu,CN,2020-04-17 03:31:32,27.34,117.48,82.54,44,23,4.5
17,Rio Grande,BR,2020-04-17 03:31:33,-32.03,-52.1,60.01,96,0,1.01
18,Mataura,NZ,2020-04-17 03:31:33,-46.19,168.86,51.01,85,96,3.0
19,Busselton,AU,2020-04-17 03:31:33,-33.65,115.33,75.99,32,61,2.51
20,Albany,US,2020-04-17 03:30:02,42.6,-73.97,35.01,55,20,5.82
21,Saldanha,ZA,2020-04-17 03:31:34,-33.01,17.94,53.6,87,13,1.12
22,Ponta Do Sol,PT,2020-04-17 03:31:34,32.67,-17.1,60.8,67,20,4.7
23,Vershino-Shakhtaminskiy,RU,2020-04-17 03:31:34,51.3,117.89,55.44,23,3,4.97
24,Leningradskiy,RU,2020-04-17 03:31:34,69.38,178.42,16.47,95,100,7.54
25,Cabo San Lucas,MX,2020-04-17 03:31:08,22.89,-109.91,72.0,43,75,6.15
26,Road Town,VG,2020-04-17 03:31:35,18.42,-64.62,80.01,74,1,8.05
27,Torbay,CA,2020-04-17 03:31:35,47.67,-52.73,30.99,79,5,18.34
28,Siguiri,GN,2020-04-17 03:31:36,11.67,-9.5,87.1,33,70,4.45
29,Cidreira,BR,2020-04-17 03:31:36,-30.18,-50.21,65.57,77,19,10.2
30,Provideniya,RU,2020-04-17 03:31:36,64.38,-173.3,32.0,94,90,13.42
31,Barrow,US,2020-04-17 03:30:01,71.29,-156.79,15.8,78,90,6.93
32,Kavieng,PG,2020-04-17 03:31:37,-2.57,150.8,77.07,86,100,13.22
33,Ancud,CL,2020-04-17 03:31:37,-41.87,-73.82,57.2,100,90,16.11
34,Rio Claro,BR,2020-04-17 03:31:38,-22.41,-47.56,63.39,77,1,3.18
35,Hilo,US,2020-04-17 03:31:39,19.73,-155.09,78.8,61,90,10.29
36,Celestun,MX,2020-04-17 03:31:39,20.87,-90.4,80.13,75,100,19.44
37,Nioro,GM,2020-04-17 03:31:39,13.35,-15.75,74.52,42,5,7.65
38,Bursa,TR,2020-04-17 03:31:40,40.17,29.08,32.0,50,0,3.44
39,Paamiut,GL,2020-04-17 03:31:40,61.99,-49.67,24.55,89,47,6.4
40,Souillac,MU,2020-04-17 03:31:40,-20.52,57.52,77.0,83,40,13.87
41,Yellowknife,CA,2020-04-17 03:30:21,62.46,-114.35,35.01,92,90,6.93
42,Atambua,ID,2020-04-17 03:31:41,-9.11,124.89,82.15,67,1,2.15
43,Vaini,TO,2020-04-17 03:31:41,-21.2,-175.2,80.6,74,40,8.05
44,Butaritari,KI,2020-04-17 03:31:41,3.07,172.79,83.61,76,99,14.0
45,Ribeira Grande,PT,2020-04-17 03:29:02,38.52,-28.7,58.68,79,42,10.18
46,Inhambane,MZ,2020-04-17 03:31:42,-23.86,35.38,76.3,83,48,5.03
47,Mitu,CO,2020-04-17 03:29:49,1.2,-70.17,76.05,75,88,1.99
48,Yar-Sale,RU,2020-04-17 03:31:42,66.83,70.83,31.01,98,100,19.13
49,Talnakh,RU,2020-04-17 03:31:42,69.49,88.4,26.6,68,85,11.18
50,Tasiilaq,GL,2020-04-17 03:31:43,65.61,-37.64,30.2,92,100,28.86
51,Chara,RU,2020-04-17 03:31:43,56.91,118.26,27.84,74,100,8.12
52,Colares,PT,2020-04-17 03:31:43,38.8,-9.45,59.0,93,75,16.11
53,Geraldton,AU,2020-04-17 03:31:43,-28.77,114.6,86.0,22,80,4.7
54,Port-Cartier,CA,2020-04-17 03:31:44,50.03,-66.87,28.99,62,40,2.24
55,Antofagasta,CL,2020-04-17 03:27:10,-23.65,-70.4,62.6,88,14,12.75
56,Thompson,CA,2020-04-17 03:31:44,55.74,-97.86,17.6,57,20,4.99
57,Rikitea,PF,2020-04-17 03:31:44,-23.12,-134.97,76.5,75,1,11.16
58,Kahului,US,2020-04-17 03:31:45,20.89,-156.47,80.6,54,40,18.34
59,Abnub,EG,2020-04-17 03:31:45,27.27,31.15,59.0,67,7,11.41
60,Vestmanna,FO,2020-04-17 03:27:13,62.16,-7.17,41.0,86,83,9.28
61,Wahiawa,US,2020-04-17 03:31:46,21.5,-158.02,80.6,65,20,16.11
62,Sladkovo,RU,2020-04-17 03:31:46,55.53,70.34,50.02,51,100,14.67
63,Port Elizabeth,ZA,2020-04-17 03:31:47,-33.92,25.57,50.0,87,1,3.36
64,Pangnirtung,CA,2020-04-17 03:31:47,66.15,-65.71,14.27,88,100,2.62
65,Salalah,OM,2020-04-17 03:31:47,17.02,54.09,80.6,74,40,4.7
66,Alice Springs,AU,2020-04-17 03:30:40,-23.7,133.88,84.2,26,0,11.41
67,Tuktoyaktuk,CA,2020-04-17 03:27:46,69.45,-133.04,15.8,85,90,10.29
68,Haines Junction,CA,2020-04-17 03:31:49,60.75,-137.51,41.09,66,100,3.49
69,Jackson,US,2020-04-17 03:31:49,42.42,-122.83,68.0,17,1,14.99
70,Bahia Blanca,AR,2020-04-17 03:31:50,-38.72,-62.27,63.77,46,29,14.12
71,Saint-Philippe,RE,2020-04-17 03:31:50,-21.36,55.77,73.4,73,7,8.05
72,Hobart,AU,2020-04-17 03:31:50,-42.88,147.33,55.99,66,40,20.8
73,Port Augusta,AU,2020-04-17 03:31:51,-32.5,137.77,66.2,63,90,11.41
74,Mar Del Plata,AR,2020-04-17 03:31:51,-38.0,-57.56,60.01,100,34,3.36
75,Cheyenne,US,2020-04-17 03:31:51,41.14,-104.82,21.0,85,90,6.93
76,Bredasdorp,ZA,2020-04-17 03:31:43,-34.53,20.04,60.8,77,34,1.12
77,Constitucion,CL,2020-04-17 03:31:52,-35.33,-72.42,55.85,70,19,5.26
78,Mukhen,RU,2020-04-17 03:31:52,48.1,136.1,58.95,30,0,7.7
79,Salina,US,2020-04-17 03:28:54,38.84,-97.61,37.99,93,90,24.16
80,Fowa,NG,2020-04-17 03:31:52,8.92,6.4,84.07,63,10,5.93
81,Kruisfontein,ZA,2020-04-17 03:31:52,-34.0,24.73,53.89,69,21,2.55
82,Luderitz,NA,2020-04-17 03:27:27,-26.65,15.16,53.6,93,0,4.7
83,Chupa,RU,2020-04-17 03:31:53,66.27,33.05,30.97,97,94,15.5
84,Vila Velha,BR,2020-04-17 03:31:53,-20.33,-40.29,77.0,83,75,5.82
85,Dingle,PH,2020-04-17 03:31:54,11.0,122.67,89.67,55,73,12.93
86,Kodiak,US,2020-04-17 03:31:54,57.79,-152.41,46.4,81,75,4.7
87,Nikolskoye,RU,2020-04-17 03:31:54,59.7,30.79,35.6,74,20,11.18
88,Castro,BR,2020-04-17 03:29:16,-24.79,-50.01,49.93,40,0,2.1
89,Oktyabrskiy,RU,2020-04-17 03:31:54,54.48,53.47,37.13,75,99,15.21
90,Zeya,RU,2020-04-17 03:31:55,53.75,127.27,52.7,39,2,6.31
91,Atasu,KZ,2020-04-17 03:31:55,48.68,71.64,50.59,42,0,10.45
92,Lorengau,PG,2020-04-17 03:31:55,-2.02,147.27,82.31,78,99,11.65
93,Inirida,CO,2020-04-17 03:31:55,3.87,-67.92,76.42,79,35,3.13
94,Georgiyevka,KZ,2020-04-17 03:31:56,43.04,74.71,50.0,81,0,2.24
95,Bluff,NZ,2020-04-17 03:31:56,-46.6,168.33,51.01,85,99,3.0
96,Miles City,US,2020-04-17 03:28:57,46.41,-105.84,30.2,63,1,8.05
97,Klaksvik,FO,2020-04-17 03:31:56,62.23,-6.59,41.0,86,46,9.37
98,Calinesti,RO,2020-04-17 03:31:57,44.82,25.05,46.06,60,82,4.14
99,Salina Cruz,MX,2020-04-17 03:30:16,16.17,-95.2,83.21,75,57,2.95
100,Pisco,PE,2020-04-17 03:31:57,-13.7,-76.22,71.6,73,53,8.05
101,Gimli,CA,2020-04-17 03:31:57,50.63,-96.99,25.0,69,16,4.36
102,Hokitika,NZ,2020-04-17 03:31:57,-42.72,170.97,59.4,81,100,11.34
103,Honningsvag,NO,2020-04-17 03:31:58,70.98,25.97,37.4,80,75,19.46
104,Ilulissat,GL,2020-04-17 03:31:58,69.22,-51.1,28.4,50,100,20.8
105,Mehamn,NO,2020-04-17 03:31:58,71.04,27.85,37.4,86,75,19.46
106,Georgetown,MY,2020-04-17 03:27:45,5.41,100.34,86.0,74,20,5.82
107,Pundaguitan,PH,2020-04-17 03:31:59,6.37,126.17,83.17,74,89,9.06
108,Kupang,ID,2020-04-17 03:31:59,-10.17,123.58,89.6,66,20,6.93
109,Langarud,IR,2020-04-17 03:31:59,37.2,50.15,53.6,87,75,4.23
110,Saskylakh,RU,2020-04-17 03:31:59,71.92,114.08,-0.13,89,0,3.18
111,Plouzane,FR,2020-04-17 03:32:00,48.38,-4.62,55.4,93,99,4.7
112,Morlaix,FR,2020-04-17 03:30:27,48.58,-4.0,55.4,93,100,4.7
113,Pitimbu,BR,2020-04-17 03:32:00,-7.47,-34.81,77.0,100,75,6.93
114,Marawi,PH,2020-04-17 03:32:00,8.0,124.29,86.81,41,92,4.09
115,Sistranda,NO,2020-04-17 03:32:01,63.73,8.83,39.99,74,75,19.46
116,Cerritos,US,2020-04-17 03:28:49,33.86,-118.06,63.0,72,1,5.82
117,New Norfolk,AU,2020-04-17 03:32:01,-42.78,147.06,55.99,66,40,20.8
118,Waipawa,NZ,2020-04-17 03:32:01,-41.41,175.52,64.4,77,46,16.11
119,Kabanjahe,ID,2020-04-17 03:28:52,3.1,98.49,86.0,74,40,5.82
120,Cabog,PH,2020-04-17 03:32:02,15.32,121.37,84.96,65,84,7.87
